total_obs,total_exp,E,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,R24,R25,R26,R27,R28,R29,R30,R31,R32,R33,R34,R35,R36,R37,R38,R39,R40,R41,R42,R43,R44,R45,R46,R47,R48,R49,R50,R51,R52,R53,R54,R55,R56,R57,R58,R59,R60,R61,R62,R63,R64,R65,R66,R67,R68,R69,R70,R71,R72,R73,R74,R75,R76,R77,R78,R79,R80,R81,R82,R83,R84,R85,R86,R87,R88,R89,R90,R91,R92,R93,R94,R95,R96,R97,R98,R99,R100,R101,R102,R103,R104,R105,R106,R107,R108,R109,R110,R111,R112,R113,R114,R115,R116,R117,R118,R119,R120,R121,R122,R123,R124,R125,R126,R127,R128,R129,R130,R131,R132,R133,R134,R135,R136,R137,R138,R139,R140,R141,R142,R143,R144,R145,R146,R147,R148,R149,R150,R151,R152,R153,R154,R155,R156,R157,R158,R159,R160,R161,R162,R163,R164,R165,R166,R167,R168,R169,R170,R171,R172,R173,R174,R175,R176,R177,R178,R179,R180,R181,R182,R183,R184,R185,R186,R187,R188,R189,R190,R191,R192,R193,R194,R195,R196,R197,R198,R199,R200
0,0,798,798,826,794,820,802,811,808,809,806,801,797,800,806,787,790,802,816,783,798,799,792,819,813,806,789,815,802,807,807,827,800,802,810,819,794,797,808,824,799,799,798,802,813,802,797,826,810,803,814,792,804,801,832,806,797,812,804,799,818,781,808,794,802,804,812,815,802,793,800,803,791,817,827,812,822,811,784,806,795,797,806,784,805,813,783,813,819,824,814,809,798,805,819,794,815,778,815,794,819,826,813,805,805,820,807,811,807,796,801,793,795,818,817,796,810,824,818,801,810,805,819,819,796,799,813,820,811,812,800,812,788,792,813,805,825,804,804,791,825,813,803,810,805,819,813,797,808,810,764,809,801,804,801,806,814,804,801,818,804,809,791,825,800,785,790,790,781,809,795,788,802,804,798,791,818,783,798,788,813,820,807,823,811,815,801,795,819,794,789,807,811,787,811,806,799,802,803,811,790,783
0,1,58,73,58,66,69,48,71,71,62,63,70,62,62,62,67,74,64,60,58,57,69,62,66,62,67,60,62,71,59,72,59,73,67,74,64,67,68,75,70,66,68,82,72,75,62,53,70,65,65,75,53,68,69,48,69,68,58,62,66,73,63,74,57,64,59,57,59,76,58,61,61,76,58,67,67,72,59,64,69,72,59,66,59,60,64,59,66,62,72,65,67,63,63,63,64,57,59,55,63,60,53,77,70,55,62,67,70,68,60,68,59,66,67,60,54,63,71,55,50,60,67,59,63,51,59,65,63,53,63,69,67,73,55,70,59,56,65,59,69,65,63,64,55,68,62,67,57,51,58,65,66,59,74,64,61,74,67,54,67,60,65,58,66,59,63,70,63,67,62,63,70,63,67,65,65,67,65,68,69,74,63,71,63,61,71,58,67,67,73,72,77,66,67,65,68,65,63,74,75,61,71
0,2,4,5,6,9,5,11,3,6,4,9,8,5,10,7,8,6,7,6,1,7,4,5,11,8,9,8,7,6,5,5,6,4,6,5,4,4,5,5,3,5,3,4,7,7,8,7,4,6,3,3,11,4,4,8,5,3,5,8,9,3,6,9,9,6,8,6,5,4,5,4,7,3,6,5,4,3,4,8,6,10,8,6,7,2,7,7,3,7,4,6,4,3,6,6,4,5,7,8,5,11,5,3,8,5,9,6,5,7,5,5,6,10,5,7,10,6,6,8,10,5,6,5,10,8,3,4,8,6,3,6,10,8,4,6,6,7,9,10,8,9,6,9,6,6,6,8,7,6,8,8,4,9,4,10,7,8,5,11,6,5,8,12,1,5,6,8,6,2,5,7,6,6,3,9,6,6,5,8,4,3,8,8,8,12,7,10,4,3,13,7,11,3,8,6,5,6,4,8,6,8,10
0,3,1,1,2,1,0,1,1,0,3,2,0,0,0,0,0,1,0,0,0,2,0,0,1,1,0,1,2,1,0,0,1,0,1,0,0,0,1,1,1,1,1,3,0,0,0,0,0,1,1,2,0,0,1,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,2,2,1,1,1,2,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,0,0,1,1,1,0,2,0,2,0,0,0,0,0,0,0,1,2,0,1,1,0,0,0,1,0,1,3,0,1,1,0,1,1,1,2,0,0,1,2,2,0,0,1,1,0,0,1,1,1,0,0,1,0,0,0,0,1,0,1,0,1,1,0,2,0,1,0,1,0,1,0,3,0,0,2,0,0,1,0,0,1,1,0,1,2,1,0,0,1,2,0,0,0,0,0,0,1,2,1,1,0,2,1,0,0,0,1,1
0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1,0,391,403,377,405,406,409,382,361,393,407,381,416,416,408,401,400,399,415,420,404,397,404,372,399,408,401,396,413,393,385,396,404,396,394,372,418,411,412,373,402,405,400,399,412,394,393,382,383,417,402,399,388,393,398,390,407,399,398,414,388,388,394,423,395,405,400,390,402,390,397,397,415,401,405,377,383,401,397,401,385,390,399,413,402,391,409,401,384,391,381,396,393,399,381,417,394,428,394,400,382,394,395,408,372,382,393,383,390,404,386,408,390,402,385,397,391,392,391,406,389,383,389,389,410,406,391,404,409,404,387,381,415,417,394,400,387,404,390,393,400,396,396,391,402,382,393,403,399,385,411,402,394,378,400,407,391,396,380,387,373,403,406,389,400,406,419,407,401,398,410,422,399,420,405,403,383,404,418,398,389,391,415,379,382,379,396,418,408,402,427,413,400,409,384,395,406,402,395,413,419,423
1,1,79,73,66,74,66,64,69,71,80,64,80,70,72,58,75,77,69,61,64,57,69,74,69,61,60,71,64,66,70,76,69,70,61,64,74,69,60,61,60,71,58,64,59,66,59,72,56,69,71,61,71,77,59,67,68,65,65,70,69,75,78,57,71,70,76,67,70,69,76,70,66,64,67,57,77,71,68,70,60,65,66,62,75,70,70,76,63,73,55,71,73,66,71,66,63,65,69,69,69,72,60,60,70,80,69,69,73,70,78,76,68,68,57,68,73,58,70,71,70,61,68,64,67,66,68,62,64,81,63,78,65,72,65,59,69,77,65,68,70,65,68,77,62,62,71,71,69,67,71,69,73,68,83,69,69,63,69,76,65,91,61,60,69,68,64,63,71,72,70,63,67,76,65,57,72,60,71,69,66,62,56,68,57,70,65,67,58,66,69,62,73,70,70,67,70,56,61,62,50,66,68
1,2,2,3,2,2,1,4,3,4,2,3,4,3,1,2,1,3,1,1,1,0,2,2,1,2,4,4,0,3,2,2,2,2,2,2,1,3,3,1,1,1,1,2,2,3,4,2,5,4,2,4,2,4,2,3,3,3,1,3,1,3,3,4,5,2,1,5,1,3,1,1,4,5,2,5,2,2,0,1,2,2,4,7,4,4,3,1,3,2,4,3,2,3,1,1,5,1,2,7,3,4,2,2,3,3,3,3,2,4,4,1,1,2,2,2,2,3,1,2,2,2,2,3,2,3,3,0,2,3,3,4,1,2,3,2,0,1,2,1,3,1,2,2,0,5,2,3,3,0,2,1,2,2,4,2,1,3,0,2,2,1,2,3,4,3,3,3,3,2,2,3,2,1,2,5,3,2,4,1,3,4,4,0,2,2,3,3,4,3,0,1,1,1,2,2,4,3,4,0,2,1,2
1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2,0,149,164,165,159,144,151,168,165,157,149,160,155,159,155,166,151,163,157,155,164,150,162,167,163,159,160,164,148,158,171,159,151,141,155,176,150,153,158,173,156,163,156,168,151,154,160,152,160,153,150,176,148,169,145,166,147,158,160,150,156,175,160,154,160,149,161,160,146,154,161,160,165,162,154,168,148,145,158,157,163,178,161,153,160,161,155,150,170,157,152,157,171,157,164,157,152,146,158,155,158,165,157,147,161,164,149,159,171,160,149,159,170,153,171,150,156,145,151,152,154,173,156,160,158,165,155,154,146,157,156,173,140,159,152,159,157,162,165,155,151,145,157,159,167,162,156,157,154,158,153,146,188,155,140,156,166,167,163,156,161,148,165,155,160,166,146,156,148,159,162,148,148,152,151,151,161,141,151,156,173,168,146,156,158,156,152,170,145,159,150,148,153,157,163,159,157,152,161,158,156,153
2,1,45,40,37,39,48,42,39,44,39,35,43,49,44,34,41,40,39,42,42,40,45,41,37,39,39,38,41,44,43,42,38,43,45,39,32,41,39,43,49,42,44,41,38,43,42,36,45,48,41,42,28,49,41,45,46,43,42,40,41,43,43,44,34,38,47,42,46,41,48,35,39,52,44,47,52,44,47,49,45,39,44,40,39,47,39,45,40,35,42,48,36,44,51,46,36,49,44,38,48,42,49,42,39,36,44,46,37,36,38,48,43,44,54,40,55,51,37,42,49,49,38,48,42,47,42,43,44,32,43,40,46,47,41,48,48,42,43,49,33,44,45,40,45,44,46,36,44,44,49,46,42,32,38,49,41,35,37,37,42,48,54,43,44,46,37,51,39,48,42,34,42,50,47,47,39,47,52,32,47,47,39,52,42,41,41,46,45,37,35,31,38,44,40,51,44,43,48,41,42,38,44
2,2,10,3,4,6,5,6,9,6,3,5,4,7,4,4,3,4,3,3,5,3,1,7,5,4,5,8,2,8,4,3,2,8,7,8,6,5,5,5,9,4,6,6,3,3,5,7,4,3,5,5,6,6,4,2,8,4,6,5,5,3,7,5,3,4,4,12,5,7,4,4,6,3,4,2,6,6,6,10,5,5,0,4,2,4,6,5,4,8,3,4,5,4,6,9,5,1,3,4,7,4,4,5,2,7,9,4,3,6,4,5,8,2,2,2,4,6,8,5,6,7,3,5,5,6,7,7,7,2,4,5,9,4,4,6,4,5,4,4,3,7,6,6,6,4,10,6,7,4,3,5,4,2,6,3,5,5,4,6,6,1,2,6,3,6,5,6,6,8,2,4,1,5,4,3,4,3,7,9,9,3,5,8,6,6,5,4,6,2,4,6,7,2,2,5,7,6,7,9,8,7,2
2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,2,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,2,1,0,0,0,0,1,0,1,1,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0
3,0,74,57,77,62,75,71,61,67,69,72,74,68,63,81,65,70,67,75,81,76,65,69,77,68,84,60,77,76,72,69,75,74,80,61,71,65,72,69,60,66,73,76,65,70,74,75,81,65,71,66,71,63,69,70,63,69,80,67,69,66,61,63,68,78,70,65,72,84,75,83,68,64,72,75,67,81,74,73,65,70,73,71,71,68,74,73,75,65,69,73,68,69,72,73,65,74,85,69,74,75,58,66,71,76,72,81,73,79,73,71,75,68,77,62,79,70,78,82,65,70,70,66,73,68,68,79,71,80,67,69,69,69,73,73,70,77,61,72,80,72,80,60,72,73,67,83,67,78,79,65,70,60,75,82,79,65,82,65,74,75,76,65,70,76,74,75,80,76,75,74,66,66,59,81,69,65,72,70,66,62,77,68,74,69,78,69,66,73,60,72,82,67,70,74,69,79,66,72,73,60,73
3,1,33,25,20,27,26,22,26,32,30,28,27,24,27,28,27,23,36,29,24,31,25,23,25,34,22,25,33,26,29,32,25,29,33,33,35,28,27,24,28,25,23,32,25,22,28,28,30,29,24,35,21,32,26,31,22,21,24,28,27,33,24,23,25,30,28,18,22,28,25,29,28,21,27,16,26,26,24,25,27,30,23,39,27,32,24,23,25,28,31,28,29,31,23,27,29,32,28,17,19,32,33,26,34,26,20,23,29,25,31,30,29,22,24,23,24,23,25,27,34,34,29,27,20,22,30,40,28,25,24,24,32,27,25,28,30,18,31,31,30,32,24,27,32,21,28,34,25,24,24,27,35,32,25,25,24,25,29,33,31,22,29,30,33,26,31,24,23,24,27,33,25,26,33,29,26,27,32,22,17,21,27,27,34,23,24,32,27,33,30,20,22,26,31,22,26,21,36,22,27,30,22
3,2,2,2,10,6,3,2,6,6,4,3,3,5,6,5,8,3,8,7,7,3,9,6,7,4,3,6,4,3,2,4,4,6,2,2,5,4,5,2,7,5,7,4,4,6,4,9,3,5,4,7,7,4,5,3,5,2,7,1,6,4,0,2,4,6,4,7,4,2,5,2,1,4,4,3,2,3,8,4,3,2,3,3,8,2,3,3,4,6,5,5,6,5,2,6,4,4,4,3,1,8,4,5,1,7,3,7,5,6,5,6,2,2,5,7,3,10,7,8,3,4,5,4,6,3,5,1,3,4,3,4,4,4,4,4,2,4,2,4,4,4,5,2,5,2,2,4,6,5,6,6,5,4,3,3,6,6,4,5,7,6,1,5,4,4,4,1,5,4,7,2,3,9,3,5,4,6,3,2,3,5,5,5,5,5,2,5,5,4,3,3,4,4,4,5,5,3,5,3,9,4,5
3,3,1,0,2,0,1,0,0,1,1,1,0,1,1,1,0,1,0,0,0,1,0,2,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,2,1,1,1,0,0,0,0,1,0,1,1,0,1,0,1,1,2,1,0,0,1,1,0,0,0,1,1,0,1,2,1,2,0,2,0,4,2,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,1,1,0,0,1,1,0,1,0,3,0,0,0,1,0,0,2,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,2,1,1,0,1,1,0,0,0,1,1,1,1,0,0,1,0,2,0,2,2,0,0,1,0,2,0,0,0,1,0,0,0,0,0,2,1,0,1,0,0,0,1,1,1,0,1,1,0,0,0,1,1,0,0,0,0,1,0
3,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,40,48,47,39,34,38,43,33,36,47,40,34,35,33,33,41,34,42,41,34,41,37,42,31,32,40,33,33,38,34,30,40,35,40,34,40,43,37,34,33,40,41,39,35,40,32,32,42,38,35,32,37,38,36,34,43,38,34,32,33,39,32,29,37,46,37,40,34,36,38,36,36,36,39,31,30,41,33,46,43,32,36,37,39,35,34,39,33,38,37,38,34,33,38,36,41,37,40,39,33,40,38,41,40,41,42,40,33,32,35,35,45,30,36,42,43,46,36,36,39,39,33,39,43,34,34,42,42,38,42,31,41,43,32,39,38,46,38,40,34,33,31,36,40,34,36,45,37,39,48,35,41,35,36,31,37,34,39,37,37,37,39,39,36,33,37,40,38,31,35,43,38,40,31,43,41,30,47,43,38,30,41,36,44,35,35,35,34,39,38,34,42,36,37,35,31,36,40,35,40,38
4,1,16,17,23,18,20,25,21,18,20,18,18,15,14,24,14,18,21,18,21,16,18,16,21,25,23,22,20,11,27,16,21,16,20,19,21,22,15,26,21,23,17,19,19,25,23,21,15,17,20,18,17,16,20,21,17,22,18,26,23,15,19,27,19,14,19,26,8,18,17,16,22,20,22,17,21,19,17,22,21,20,16,24,20,17,24,17,20,13,22,18,23,12,21,13,13,14,17,29,22,20,21,24,24,18,20,14,15,19,15,14,20,29,21,19,18,17,18,11,21,16,17,24,23,15,19,12,17,22,25,18,16,18,27,19,15,14,18,17,20,18,25,22,20,15,19,21,18,20,24,21,17,16,20,18,22,28,21,29,25,18,18,16,13,21,22,18,25,18,16,18,25,14,18,16,21,21,22,14,24,22,16,20,12,22,19,15,18,14,25,26,18,18,21,14,20,26,18,23,22,15,22
4,2,6,9,5,3,5,2,6,7,2,6,4,7,2,6,3,1,1,5,5,4,6,2,5,1,3,6,1,3,7,7,6,4,4,5,3,6,7,3,6,4,2,3,7,1,8,2,5,6,3,3,5,4,6,3,4,7,7,4,6,4,5,5,4,1,6,4,4,4,7,2,3,7,5,6,4,9,6,4,5,6,7,4,3,7,3,5,5,5,4,1,4,2,3,5,9,5,7,4,8,3,4,7,4,6,3,4,0,5,6,5,5,5,5,8,5,4,2,6,6,2,6,5,6,5,3,2,5,4,5,4,9,6,5,7,6,2,6,7,3,5,1,4,5,3,4,3,3,4,6,4,4,5,2,2,6,7,2,4,5,2,2,6,7,6,2,10,5,3,3,6,5,7,7,5,7,5,5,5,12,4,2,3,7,7,5,5,4,6,3,2,6,3,5,1,5,6,4,4,3,3,4
4,3,2,2,0,0,3,2,0,0,1,1,0,2,2,0,0,0,0,2,1,1,2,0,0,2,1,1,1,1,1,1,3,0,1,0,1,0,2,1,1,0,2,0,2,1,0,2,0,1,0,1,2,1,3,0,0,1,0,1,0,0,0,0,0,2,1,2,1,1,0,1,2,1,3,2,1,0,2,0,1,1,1,0,0,1,1,2,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,3,0,1,1,1,0,1,0,1,0,1,0,0,0,0,1,0,0,2,1,1,1,1,1,0,0,0,0,1,1,1,0,2,1,1,2,2,0,0,1,3,1,0,0,1,2,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,1,0,1,1,1,0,1,1,1,1,0,0,0,0,0,3,0,2,1,1,1,0,0,0,0,1,0,1,0
4,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
