src,dst,time,type,color,weight
account.16373fa7e1c144edaced3e3d20f5e4c7,account.fb7d3cfc84bc495397401f58cd75a9d2,2019-03-02T18:59:28.908+0000,0,1,1
account.ce3501cda3af48e1aa1543b265307408,account.d6ed12eb92824fc1852d76f2ab6c6036,2019-03-02T18:59:30.250+0000,0,1,2
account.2f3f23f43fb4429a852c57b8131db638,account.b1424f2d9df644d799d837112602989d,2019-03-02T18:59:53.407+0000,0,1,3
account.bdd1510da5a8432da178e6bc4e4c0a5f,account.a7230ce441f14ab988fc2f85dfdb0d95,2019-03-02T18:59:55.635+0000,0,1,4
account.16373fa7e1c144edaced3e3d20f5e4c7,account.63220a11bddf4ce0b78fc9628eb0109d,2019-03-02T18:59:58.783+0000,0,1,5
account.7a653b4d0b0243838a3b384edea985da,account.b2a6e7a8511142f1878202093afbc6ed,2019-03-02T18:59:59.587+0000,0,2,6
account.5034e30ae7e546c188c076f2561293aa,account.31f088c76d234542a016eecd12ac9020,2019-03-02T19:00:22.642+0000,0,1,7
account.fe0167c73047446dae8c71a2498fb295,account.a3be978669304440940bb56c59099da9,2019-03-02T19:00:27.527+0000,0,1,8
account.1a1f9a67320a4abe920c0f9730d69c1c,account.aa7600c7a3904226b64a5b9ac35acb34,2019-03-02T19:00:35.666+0000,0,1,9
account.7a653b4d0b0243838a3b384edea985da,account.503531aeb08448a298e7506bf0ad116d,2019-03-02T19:00:39.990+0000,0,2,10
account.1a1f9a67320a4abe920c0f9730d69c1c,account.4b8db0a655c5420591f74be68965b21e,2019-03-02T19:00:53.147+0000,0,1,11
account.c840e7687b604ef890255f6d455884ef,account.20fce27f2ede4bffbb8d98c247d34a4e,2019-03-02T19:00:53.157+0000,0,1,12
account.91668c9927a74797ad76d78818f57433,account.d8d8f00ebfb947508c96bf9d507f6fe6,2019-03-02T19:01:08.335+0000,0,1,13
account.9bd7469f58284c2285245bf85451b214,account.aa8763e06cfe48088f5ecead374f43a8,2019-03-02T19:01:35.844+0000,0,1,14
account.a79c3822c7824ff1b396cb2ca5e81d91,account.5d6011a66b9b476e829332f9ea68c105,2019-03-02T19:01:38.598+0000,0,1,15
account.b4ae8be978c441c2995646d0c2dec168,account.d03d37d3956645708d126a800ff591de,2019-03-02T19:01:43.965+0000,0,1,16
account.66194937b6c34bf69ff4c4dfbfba9df3,account.29367373506a4733aae3840c28a04dc0,2019-03-02T19:01:55.036+0000,0,2,17
account.66194937b6c34bf69ff4c4dfbfba9df3,account.724a5e33db9e45da9f75dfdbe701d4d5,2019-03-02T19:01:55.038+0000,0,2,18
account.66194937b6c34bf69ff4c4dfbfba9df3,account.a79c3822c7824ff1b396cb2ca5e81d91,2019-03-02T19:01:55.042+0000,0,2,19
account.1a1f9a67320a4abe920c0f9730d69c1c,account.68d1c35af740472abfc6dc2172139171,2019-03-02T19:02:01.363+0000,0,1,20
account.3208487891b541d58e1819ca22c35413,account.134aff760d694f99a67477961c60beda,2019-03-02T19:02:03.039+0000,0,1,21
account.7a653b4d0b0243838a3b384edea985da,account.d53ef7ce6c6c46de91c2e04e0c70f9f3,2019-03-02T19:02:28.725+0000,0,2,22
account.1a1f9a67320a4abe920c0f9730d69c1c,account.8c3c567b5ced47f9a7914bbcf3c9cf5b,2019-03-02T19:02:31.652+0000,0,1,23
account.bd2c2d367ab643cdbe079bccd289dac9,account.bc8ca6ee2ff74f44a74da36ac7a74273,2019-03-02T19:02:49.173+0000,0,1,24
account.1a1f9a67320a4abe920c0f9730d69c1c,account.fe0167c73047446dae8c71a2498fb295,2019-03-02T19:02:56.031+0000,0,1,25
account.b4ae8be978c441c2995646d0c2dec168,account.bdd1510da5a8432da178e6bc4e4c0a5f,2019-03-02T19:03:00.911+0000,0,1,26
account.242ac4f7ac7944709594c46dd34139a0,account.b4ae8be978c441c2995646d0c2dec168,2019-03-02T19:03:10.366+0000,0,1,27
account.91668c9927a74797ad76d78818f57433,account.242ac4f7ac7944709594c46dd34139a0,2019-03-02T19:03:29.684+0000,0,1,28
account.8d3ac1aee22342e18b3a5743ebec2037,account.e21cb8696bb64683aa5c56ad812639e6,2019-03-02T19:03:34.449+0000,0,1,29
account.16373fa7e1c144edaced3e3d20f5e4c7,account.e28ab8fee3764825baeaa78e51dbc62c,2019-03-02T19:03:35.201+0000,0,1,30
account.0fdfe593d99f4396b7c0dada038a68e1,account.9a995053ce374e90a04dec11a8d88bf7,2019-03-02T19:03:48.359+0000,0,1,31
account.bd2c2d367ab643cdbe079bccd289dac9,account.86c397606e2a4761a9e1cd8fab2846fb,2019-03-02T19:03:48.364+0000,0,1,32
account.a07130bb70ac4583975ec49b4a47d9d8,account.c930d78ca3284e53a4b7385e351426fc,2019-03-02T19:03:56.531+0000,0,1,33
account.9bd7469f58284c2285245bf85451b214,account.b45347fe4be64f2f852ba0f7905b578e,2019-03-02T19:04:03.287+0000,0,1,34
account.7a653b4d0b0243838a3b384edea985da,account.9bd7469f58284c2285245bf85451b214,2019-03-02T19:04:26.554+0000,0,2,35
account.66194937b6c34bf69ff4c4dfbfba9df3,account.7b68be0dea0f400b80aa7c5166136cc0,2019-03-02T19:05:04.342+0000,0,2,36
account.97337689605f42be8a2db36be59bcb02,account.1dd82676106448a4882f8506271282db,2019-03-02T19:05:50.982+0000,0,1,37
account.66194937b6c34bf69ff4c4dfbfba9df3,account.084d48c7a3824983908792fe7c19a627,2019-03-02T19:06:03.912+0000,0,2,38
account.2f3f23f43fb4429a852c57b8131db638,account.052414cff5444c26b4e4e14b7af95b40,2019-03-02T19:06:15.167+0000,0,1,39
account.c840e7687b604ef890255f6d455884ef,account.4f75d85f96094286bc1a1ff7bc2457d0,2019-03-02T19:06:19.868+0000,0,1,40
account.d6cffcdcec67453381a9bfda3e93986f,account.91668c9927a74797ad76d78818f57433,2019-03-02T19:06:26.136+0000,0,1,41
account.d6cffcdcec67453381a9bfda3e93986f,account.2f3f23f43fb4429a852c57b8131db638,2019-03-02T19:06:41.333+0000,0,1,42
account.052414cff5444c26b4e4e14b7af95b40,account.f286c65834f043b8812c430e117c239b,2019-03-02T19:06:42.326+0000,0,1,43
account.97337689605f42be8a2db36be59bcb02,account.8d3ac1aee22342e18b3a5743ebec2037,2019-03-02T19:07:38.599+0000,0,1,44
account.ce3501cda3af48e1aa1543b265307408,account.16373fa7e1c144edaced3e3d20f5e4c7,2019-03-02T19:07:42.307+0000,0,1,45
account.66194937b6c34bf69ff4c4dfbfba9df3,account.bd2c2d367ab643cdbe079bccd289dac9,2019-03-02T19:07:46.073+0000,0,2,46
account.1a1f9a67320a4abe920c0f9730d69c1c,account.c840e7687b604ef890255f6d455884ef,2019-03-02T19:07:56.952+0000,0,1,47
account.1a1f9a67320a4abe920c0f9730d69c1c,account.8ea6d9e71619493c8bd76be8f654f43d,2019-03-02T19:08:09.732+0000,0,1,48
account.1a1f9a67320a4abe920c0f9730d69c1c,account.2d3747c6fc7e40e68543c5b525d722d0,2019-03-02T19:08:10.128+0000,0,1,49
account.66194937b6c34bf69ff4c4dfbfba9df3,account.0fdfe593d99f4396b7c0dada038a68e1,2019-03-02T19:08:16.083+0000,0,2,50
account.66194937b6c34bf69ff4c4dfbfba9df3,account.ee981750b0be495f9e2ff44a4d2a3a81,2019-03-02T19:08:16.088+0000,0,2,51
account.2f74ed87e4d54b25bf7fabb6abaa147c,account.1a24d8e67cf64c1b983e712b34270e92,2019-03-02T19:08:29.904+0000,0,1,52
account.e322cd38797f43cf9cd97aa1fc98a7ee,account.779aad0a652841daa628735bfc67b09d,2019-03-02T19:08:46.496+0000,0,1,53
account.0f55c017b7174ec7b021da9a550da679,account.a806c9ca9ad844cc8d69ca6bc0154c88,2019-03-02T19:08:58.574+0000,0,1,54
account.909dee6f4ffe418dbccf7844f87e5465,account.96dd9a634a8a4d5c89e3ca9d3d924098,2019-03-02T19:08:59.071+0000,0,1,55
account.2f74ed87e4d54b25bf7fabb6abaa147c,account.06bd8b8acc2a441cb18b1894b0dc87d3,2019-03-02T19:08:59.074+0000,0,1,56
account.5034e30ae7e546c188c076f2561293aa,account.ce3501cda3af48e1aa1543b265307408,2019-03-02T19:09:09.359+0000,0,1,57
account.e322cd38797f43cf9cd97aa1fc98a7ee,account.98d6fdbf0bcb458498d1f380843a243e,2019-03-02T19:09:17.296+0000,0,1,58
account.e6341031f50e4226853c99408a12768c,account.7a653b4d0b0243838a3b384edea985da,2019-03-02T19:09:27.965+0000,0,1,59
account.cde4d069bed94003acf3b9df240c055e,account.d4d026ef459a4eebb0323fc8c44c7b3c,2019-03-02T19:09:30.475+0000,0,2,60
account.cde4d069bed94003acf3b9df240c055e,account.a9425256214049fcb06d725e6b42d09d,2019-03-02T19:09:30.765+0000,0,2,61
account.cde4d069bed94003acf3b9df240c055e,account.a07130bb70ac4583975ec49b4a47d9d8,2019-03-02T19:10:15.589+0000,0,2,62
account.5034e30ae7e546c188c076f2561293aa,account.3208487891b541d58e1819ca22c35413,2019-03-02T19:10:17.364+0000,0,1,63
account.dbf2acda4a9d46eeba4333e74128025d,account.74d5de0af4354182a4e5df5a6900af8e,2019-03-02T19:11:29.551+0000,0,1,64
account.cde4d069bed94003acf3b9df240c055e,account.b6991efc04fe414ca35106d769cc41aa,2019-03-02T19:13:47.069+0000,0,2,65
account.79e951da38174122a01b37d9e7981588,account.f34e6fb6eb404012b09a6d26373a4536,2019-03-02T19:13:56.071+0000,0,1,66
account.43e574c76d4d46568c52f0b334c9ccb3,account.893df9cf7ad240ff9ce607f12eaa64de,2019-03-02T19:14:26.217+0000,0,1,67
account.1a1f9a67320a4abe920c0f9730d69c1c,account.e6341031f50e4226853c99408a12768c,2019-03-02T19:14:47.128+0000,0,1,68
account.1a1f9a67320a4abe920c0f9730d69c1c,account.5034e30ae7e546c188c076f2561293aa,2019-03-02T19:14:56.857+0000,0,1,69
account.66194937b6c34bf69ff4c4dfbfba9df3,account.d6cffcdcec67453381a9bfda3e93986f,2019-03-02T19:15:27.428+0000,0,2,70
account.a492f08f4c7c4d3ebfe7b1708f04d73e,account.1a1f9a67320a4abe920c0f9730d69c1c,2019-03-02T19:15:53.502+0000,0,1,71
account.5244f1dbb42044be841513aba30cabd4,account.4666c1493ebc432498db6a3b482382d0,2019-03-02T19:15:53.506+0000,0,1,72
account.85812751624d48258bbfabd2ee6c42f7,account.ff4fafbd7ec64d2f9abd41af70b6e0d4,2019-03-02T19:15:53.510+0000,0,1,73
account.e322cd38797f43cf9cd97aa1fc98a7ee,account.e2240225e64d4729b9b6dd561b1e68e2,2019-03-02T19:15:57.540+0000,0,1,74
account.6050ba4a989e4497bb596cd1545fb33e,account.a492f08f4c7c4d3ebfe7b1708f04d73e,2019-03-02T19:16:59.588+0000,0,1,75
account.cde4d069bed94003acf3b9df240c055e,account.dbf2acda4a9d46eeba4333e74128025d,2019-03-02T19:17:01.755+0000,0,2,76
account.e322cd38797f43cf9cd97aa1fc98a7ee,account.a5091d7cdaa147c487c7ffb59701a722,2019-03-02T19:18:05.705+0000,0,1,77
account.6050ba4a989e4497bb596cd1545fb33e,account.43e574c76d4d46568c52f0b334c9ccb3,2019-03-02T19:18:31.830+0000,0,1,78
account.85812751624d48258bbfabd2ee6c42f7,account.5ac8044b3a944065b378c9c7a1fda26c,2019-03-02T19:18:32.761+0000,0,1,79
account.5244f1dbb42044be841513aba30cabd4,account.79e951da38174122a01b37d9e7981588,2019-03-02T19:18:33.597+0000,0,1,80
account.66194937b6c34bf69ff4c4dfbfba9df3,account.223fd9c2d0ef46ac83acceb3299e5f7d,2019-03-02T19:18:59.001+0000,0,2,81
account.66194937b6c34bf69ff4c4dfbfba9df3,account.909dee6f4ffe418dbccf7844f87e5465,2019-03-02T19:19:16.695+0000,0,2,82
account.97337689605f42be8a2db36be59bcb02,account.2f74ed87e4d54b25bf7fabb6abaa147c,2019-03-02T19:19:16.697+0000,0,1,83
account.cde4d069bed94003acf3b9df240c055e,account.0f55c017b7174ec7b021da9a550da679,2019-03-02T19:19:16.699+0000,0,2,84
account.cde4d069bed94003acf3b9df240c055e,account.cde4d069bed94003acf3b9df240c055e,2019-03-02T19:19:16.700+0000,0,2,85
account.5244f1dbb42044be841513aba30cabd4,account.66194937b6c34bf69ff4c4dfbfba9df3,2019-03-02T19:20:24.051+0000,0,1,86
account.85812751624d48258bbfabd2ee6c42f7,account.97337689605f42be8a2db36be59bcb02,2019-03-02T19:20:24.053+0000,0,1,87
account.5244f1dbb42044be841513aba30cabd4,account.e322cd38797f43cf9cd97aa1fc98a7ee,2019-03-02T19:21:26.089+0000,0,1,88
account.66194937b6c34bf69ff4c4dfbfba9df3,account.16373fa7e1c144edaced3e3d20f5e4c7,2019-03-02T19:06:03.912+0000,1,3,20
account.66194937b6c34bf69ff4c4dfbfba9df3,account.ce3501cda3af48e1aa1543b265307408,2019-03-02T19:06:03.912+0000,1,3,20
account.66194937b6c34bf69ff4c4dfbfba9df3,account.2f3f23f43fb4429a852c57b8131db638,2019-03-02T19:06:03.912+0000,1,3,20
account.66194937b6c34bf69ff4c4dfbfba9df3,account.7a653b4d0b0243838a3b384edea985da,2019-03-02T19:06:03.912+0000,1,3,20
account.66194937b6c34bf69ff4c4dfbfba9df3,account.5034e30ae7e546c188c076f2561293aa,2019-03-02T19:06:03.912+0000,1,3,20
account.66194937b6c34bf69ff4c4dfbfba9df3,account.1a1f9a67320a4abe920c0f9730d69c1c,2019-03-02T19:06:03.912+0000,1,3,20
account.66194937b6c34bf69ff4c4dfbfba9df3,account.c840e7687b604ef890255f6d455884ef,2019-03-02T19:06:03.912+0000,1,3,20
account.66194937b6c34bf69ff4c4dfbfba9df3,account.91668c9927a74797ad76d78818f57433,2019-03-02T19:06:03.912+0000,1,3,20
account.66194937b6c34bf69ff4c4dfbfba9df3,account.3208487891b541d58e1819ca22c35413,2019-03-02T19:06:03.912+0000,1,3,20
account.66194937b6c34bf69ff4c4dfbfba9df3,account.bd2c2d367ab643cdbe079bccd289dac9,2019-03-02T19:06:03.912+0000,1,3,20
account.66194937b6c34bf69ff4c4dfbfba9df3,account.8d3ac1aee22342e18b3a5743ebec2037,2019-03-02T19:06:03.912+0000,1,3,20
account.66194937b6c34bf69ff4c4dfbfba9df3,account.0fdfe593d99f4396b7c0dada038a68e1,2019-03-02T19:06:03.912+0000,1,3,20
account.66194937b6c34bf69ff4c4dfbfba9df3,account.a07130bb70ac4583975ec49b4a47d9d8,2019-03-02T19:06:03.912+0000,1,3,20
account.66194937b6c34bf69ff4c4dfbfba9df3,account.97337689605f42be8a2db36be59bcb02,2019-03-02T19:06:03.912+0000,1,3,20
account.66194937b6c34bf69ff4c4dfbfba9df3,account.d6cffcdcec67453381a9bfda3e93986f,2019-03-02T19:06:03.912+0000,1,3,20
account.66194937b6c34bf69ff4c4dfbfba9df3,account.052414cff5444c26b4e4e14b7af95b40,2019-03-02T19:06:03.912+0000,1,3,20
account.66194937b6c34bf69ff4c4dfbfba9df3,account.2f74ed87e4d54b25bf7fabb6abaa147c,2019-03-02T19:06:03.912+0000,1,3,20
account.66194937b6c34bf69ff4c4dfbfba9df3,account.e322cd38797f43cf9cd97aa1fc98a7ee,2019-03-02T19:06:03.912+0000,1,3,20
account.66194937b6c34bf69ff4c4dfbfba9df3,account.0f55c017b7174ec7b021da9a550da679,2019-03-02T19:06:03.912+0000,1,3,20
account.66194937b6c34bf69ff4c4dfbfba9df3,account.909dee6f4ffe418dbccf7844f87e5465,2019-03-02T19:06:03.912+0000,1,3,20
account.66194937b6c34bf69ff4c4dfbfba9df3,account.e6341031f50e4226853c99408a12768c,2019-03-02T19:06:03.912+0000,1,3,20
account.66194937b6c34bf69ff4c4dfbfba9df3,account.cde4d069bed94003acf3b9df240c055e,2019-03-02T19:06:03.912+0000,1,3,20
account.66194937b6c34bf69ff4c4dfbfba9df3,account.dbf2acda4a9d46eeba4333e74128025d,2019-03-02T19:06:03.912+0000,1,3,20
account.66194937b6c34bf69ff4c4dfbfba9df3,account.79e951da38174122a01b37d9e7981588,2019-03-02T19:06:03.912+0000,1,3,20
account.66194937b6c34bf69ff4c4dfbfba9df3,account.43e574c76d4d46568c52f0b334c9ccb3,2019-03-02T19:06:03.912+0000,1,3,20
account.66194937b6c34bf69ff4c4dfbfba9df3,account.a492f08f4c7c4d3ebfe7b1708f04d73e,2019-03-02T19:06:03.912+0000,1,3,20
account.66194937b6c34bf69ff4c4dfbfba9df3,account.5244f1dbb42044be841513aba30cabd4,2019-03-02T19:06:03.912+0000,1,3,20
account.66194937b6c34bf69ff4c4dfbfba9df3,account.85812751624d48258bbfabd2ee6c42f7,2019-03-02T19:06:03.912+0000,1,3,20
account.66194937b6c34bf69ff4c4dfbfba9df3,account.6050ba4a989e4497bb596cd1545fb33e,2019-03-02T19:06:03.912+0000,1,3,20
account.66194937b6c34bf69ff4c4dfbfba9df3,account.4f75d85f96094286bc1a1ff7bc2457d0,2019-03-02T19:06:03.912+0000,1,3,20
account.66194937b6c34bf69ff4c4dfbfba9df3,account.f286c65834f043b8812c430e117c239b,2019-03-02T19:06:03.912+0000,1,3,20
account.66194937b6c34bf69ff4c4dfbfba9df3,account.8ea6d9e71619493c8bd76be8f654f43d,2019-03-02T19:06:03.912+0000,1,3,20
account.66194937b6c34bf69ff4c4dfbfba9df3,account.2d3747c6fc7e40e68543c5b525d722d0,2019-03-02T19:06:03.912+0000,1,3,20
account.66194937b6c34bf69ff4c4dfbfba9df3,account.ee981750b0be495f9e2ff44a4d2a3a81,2019-03-02T19:06:03.912+0000,1,3,20
account.66194937b6c34bf69ff4c4dfbfba9df3,account.1a24d8e67cf64c1b983e712b34270e92,2019-03-02T19:06:03.912+0000,1,3,20
account.66194937b6c34bf69ff4c4dfbfba9df3,account.779aad0a652841daa628735bfc67b09d,2019-03-02T19:06:03.912+0000,1,3,20
account.66194937b6c34bf69ff4c4dfbfba9df3,account.a806c9ca9ad844cc8d69ca6bc0154c88,2019-03-02T19:06:03.912+0000,1,3,20
account.66194937b6c34bf69ff4c4dfbfba9df3,account.96dd9a634a8a4d5c89e3ca9d3d924098,2019-03-02T19:06:03.912+0000,1,3,20
account.66194937b6c34bf69ff4c4dfbfba9df3,account.06bd8b8acc2a441cb18b1894b0dc87d3,2019-03-02T19:06:03.912+0000,1,3,20
account.66194937b6c34bf69ff4c4dfbfba9df3,account.98d6fdbf0bcb458498d1f380843a243e,2019-03-02T19:06:03.912+0000,1,3,20
account.66194937b6c34bf69ff4c4dfbfba9df3,account.d4d026ef459a4eebb0323fc8c44c7b3c,2019-03-02T19:06:03.912+0000,1,3,20
account.66194937b6c34bf69ff4c4dfbfba9df3,account.a9425256214049fcb06d725e6b42d09d,2019-03-02T19:06:03.912+0000,1,3,20
account.66194937b6c34bf69ff4c4dfbfba9df3,account.74d5de0af4354182a4e5df5a6900af8e,2019-03-02T19:06:03.912+0000,1,3,20
account.66194937b6c34bf69ff4c4dfbfba9df3,account.b6991efc04fe414ca35106d769cc41aa,2019-03-02T19:06:03.912+0000,1,3,20
account.66194937b6c34bf69ff4c4dfbfba9df3,account.f34e6fb6eb404012b09a6d26373a4536,2019-03-02T19:06:03.912+0000,1,3,20
account.66194937b6c34bf69ff4c4dfbfba9df3,account.893df9cf7ad240ff9ce607f12eaa64de,2019-03-02T19:06:03.912+0000,1,3,20
account.66194937b6c34bf69ff4c4dfbfba9df3,account.4666c1493ebc432498db6a3b482382d0,2019-03-02T19:06:03.912+0000,1,3,20
account.66194937b6c34bf69ff4c4dfbfba9df3,account.ff4fafbd7ec64d2f9abd41af70b6e0d4,2019-03-02T19:06:03.912+0000,1,3,20
account.66194937b6c34bf69ff4c4dfbfba9df3,account.e2240225e64d4729b9b6dd561b1e68e2,2019-03-02T19:06:03.912+0000,1,3,20
account.66194937b6c34bf69ff4c4dfbfba9df3,account.a5091d7cdaa147c487c7ffb59701a722,2019-03-02T19:06:03.912+0000,1,3,20
account.66194937b6c34bf69ff4c4dfbfba9df3,account.5ac8044b3a944065b378c9c7a1fda26c,2019-03-02T19:06:03.912+0000,1,3,20
account.66194937b6c34bf69ff4c4dfbfba9df3,account.223fd9c2d0ef46ac83acceb3299e5f7d,2019-03-02T19:06:03.912+0000,1,3,20
account.cde4d069bed94003acf3b9df240c055e,account.66194937b6c34bf69ff4c4dfbfba9df3,2019-03-02T19:17:01.755+0000,1,3,20
account.cde4d069bed94003acf3b9df240c055e,account.97337689605f42be8a2db36be59bcb02,2019-03-02T19:17:01.755+0000,1,3,20
account.cde4d069bed94003acf3b9df240c055e,account.2f74ed87e4d54b25bf7fabb6abaa147c,2019-03-02T19:17:01.755+0000,1,3,20
account.cde4d069bed94003acf3b9df240c055e,account.e322cd38797f43cf9cd97aa1fc98a7ee,2019-03-02T19:17:01.755+0000,1,3,20
account.cde4d069bed94003acf3b9df240c055e,account.0f55c017b7174ec7b021da9a550da679,2019-03-02T19:17:01.755+0000,1,3,20
account.cde4d069bed94003acf3b9df240c055e,account.909dee6f4ffe418dbccf7844f87e5465,2019-03-02T19:17:01.755+0000,1,3,20
account.cde4d069bed94003acf3b9df240c055e,account.79e951da38174122a01b37d9e7981588,2019-03-02T19:17:01.755+0000,1,3,20
account.cde4d069bed94003acf3b9df240c055e,account.43e574c76d4d46568c52f0b334c9ccb3,2019-03-02T19:17:01.755+0000,1,3,20
account.cde4d069bed94003acf3b9df240c055e,account.5244f1dbb42044be841513aba30cabd4,2019-03-02T19:17:01.755+0000,1,3,20
account.cde4d069bed94003acf3b9df240c055e,account.85812751624d48258bbfabd2ee6c42f7,2019-03-02T19:17:01.755+0000,1,3,20
account.cde4d069bed94003acf3b9df240c055e,account.6050ba4a989e4497bb596cd1545fb33e,2019-03-02T19:17:01.755+0000,1,3,20
account.cde4d069bed94003acf3b9df240c055e,account.a5091d7cdaa147c487c7ffb59701a722,2019-03-02T19:17:01.755+0000,1,3,20
account.cde4d069bed94003acf3b9df240c055e,account.5ac8044b3a944065b378c9c7a1fda26c,2019-03-02T19:17:01.755+0000,1,3,20
account.cde4d069bed94003acf3b9df240c055e,account.223fd9c2d0ef46ac83acceb3299e5f7d,2019-03-02T19:17:01.755+0000,1,3,20
